V1,state,abbreviation,meanrat_com,meanrat_medicaid,meanrat_medicare,meanrat_overall,year,pop_2016.x,pct_pop_age0-18_2016,pct_pop_age19-25_2016,pct_pop_age26-34_2016,pct_pop_age35-54_2016,pct_pop_age55-64_2016,pct_pop_age65_2016,pct_citizen_2016,pct_male_2016,pct_female_2016,pct_white_2016,pct_black_2016,pct_hispanic_2016,pct_asian_2016,pct_native_2016,pct_pacific_2016,pct_two_or_more_races_2016,pct_fpv<100_2016,pct_fpv100-199_2016,pct_fpv200-399_2016,pct_fpv>400_2016,med_house_income_2016,pct_unemployed_2016,avg_monthly_SNAP_2016,expend_per_cap_2016,forclosure_rate_2016,pct_change_monthly_umployment_2016,pct_change_monthly_SNAP_2016,economic_distress_rank_2016,pct_any_mental_illness_2016,pct_serious_mental_illness_2016,cancer_death_rate_2016,death_rate_2016,cvs_death_rate_2016,firearm_death_rate_2016,opioid_od_death_rate_2016,all_drug_od_death_rate_2016,flu_pna_death_2016,pct_smoke_2016,pct_reported_poor_health_2016,expansion_2017,total_medicaid_enroll_2017,expansion_group_enrolled_2017,expansion_group_newly_eligible_enrolled_2017,hosp_expense_inpatient_day_2016,hosp_rate_gov_hosp_2016,hosp_rate_nonprofit_hosp_2016,hosp_rate_forprofit_hosp_2016,hosp_rate_total_2016,pct_uninsured_2013,pct_uninsured_2016,pct_change_uninsured_2013_2016,herfindahl_hirschman_Index_2016,market_share_largest_insure_2016,no_insure_>5%_mark_share_2016,gross_margins_per_member_2016,total_pc_hpsa_2017,pop_hpsa_2017,pct_needs_met_2017,no_practitioners_needed_2017,pct_hdhp_2017,avg_fam_prem_employee_cont_2016,avg_fam_prem_employer_cont_2016,avg_fam_prem_total_2016,avg_sing_prem_employee_cont_2016,avg_sing_prem_employer_cont_2016,avg_sing_prem_total_2016,hc_exp_per_cap_2014,avg_bench_mktplace_prem,pct_pot_mkt_pop_enrol_2016,no_insur_provid_2016,insur_spend_per_cap_2014,pct_not_hav_pcp_2016,quality_rank_2016,quality_value_2016,no_pcp_2018,no_specialist_2018,no_total_md_2018,pop_2016.y,land_area,pop_density,pct_disability_2016,num_gov_beds_2016,num_non_profit_beds_2016,num_for_profit_beds_2016,num_total_beds_2016,no_pcp_per_pop,no_specialists_per_pop,no_total_md_pop
24,Oregon,OR,3.36363636363636,NA,3.27777777777778,3.31034482758621,2016,4130200,23,8,11,28.000000000000004,13,17,93,50,50,0.75,0.02,0.14,0.04,NA,NA,0.04,11.93,18.88,29.5,39.69,59135,4.9,734864,9104,1644,-0.7000000000000001,-6.5,31,22.1,5.1,155.9,705.9,135,11.9,7.6,11.9,8.9,16.2,16.400000000000002,1,1104000,556700,481300,3536.98,54,304,11,368,21.4,8.7,-12.7,2723,44,5,-19,127,1072476,54.459999999999994,165,53.7,4200,12927,17127,1028,4946,5974,8044,274,46,10,4232,21.4,21,0.211,5839,6081,11920,4130200,96003,43.021572242534084,14.7,0.2,1.4,0,1.6,1.4137329911384438,1.4723257953609996,2.886058786499443
25,Colorado,CO,3.35714285714286,3.25,3.72222222222222,3.48,2016,5509200,24,9,14.000000000000002,26,12,15,94,50,50,0.7,0.04,0.19,0.04,NA,NA,0.02,8.6,13.950000000000001,29.599999999999998,47.839999999999996,70566,3.2,475690,6629,1479,-0.3,-3.4000000000000004,21,19.400000000000002,4.5,137.1,669.5,129.8,14.3,9.5,16.6,9.6,15.6,14.499999999999998,1,1338700,450900,448600,2866.32,80,233,83,396,18.3,10.2,-8.1,2664,36,4,-1,123,1068743,38.41,225,64.4,4822,12637,17459,1385,4587,5972,6804,307,22,8,4623,25.6,10,0.559,7109,7238,14347,5509200,103730,53.11096114913718,10.4,0.4,1.2,0.4,1.9,1.2903869890365207,1.3138023669498295,2.60418935598635
26,Arizona,AZ,3.35,NA,3.41666666666667,3.38636363636364,2016,6890200,25,10,11,26,12,16,91,49,51,0.54,0.04,0.34,0.03,0.02,NA,0.01,16.25,18.81,28.470000000000002,36.47,57100,5.1,960105,5725,1287,-9,-2.8000000000000003,24,17,3.9,136.8,675.8,138.9,15.2,11.4,20.3,10.4,14.7,18.6,1,1904800,425800,112900,2479.34,29,313,90,431,23.599999999999998,13.600000000000001,-10.100000000000001,2783,42,4,-11,216,4770858,45.09,837,57.99999999999999,5305,12179,17484,1283,4763,6046,6452,239,34,8,4035,26.700000000000003,29,-0.02,8456,9247,17703,6890200,113642,60.630752714665356,13.200000000000001,0.1,1.3,0.5,1.9,1.2272502975240196,1.342051028997707,2.569301326521727
27,Illinois,IL,3.35,2.75,3.625,3.34,2016,12607400,24,10,12,26,13,15,93,49,51,0.61,0.14,0.17,0.06,NA,NA,0.01,12.23,14.78,27.439999999999998,45.550000000000004,61386,5.800000000000001,1914393,4245,703,-5.3,-3.6999999999999997,17,15.5,3.6999999999999997,163.5,724.3,165.7,11.7,15.3,18.9,14.5,15.8,18,1,2944000,690400,662200,2431.11,24,472,41,538,18.3,9.3,-9,4529,66,4,-8,234,3847031,57.43000000000001,527,48.9,5085,13425,18510,1488,4780,6268,8262,255,40,7,4875,17.9,26,0.084,21721,21155,42876,12607400,55593,226.7803500440703,11.1,0.1,2.1,0.2,2.5,1.7228770404682963,1.6779827720227802,3.4008598124910767
28,South Dakota,SD,3.33333333333333,NA,3.5,3.375,2016,855400,27,9,11,22,13,18,99,50,50,0.82,0.02,0.05,NA,NA,<.01,0.02,14.49,16.05,30.37,39.09,57450,2.9000000000000004,95983,4821,4876,-5.3,-2.1999999999999997,37,17.299999999999997,4,156.7,719.5,153.4,13.4,5,8.4,16.7,18.099999999999998,13,0,109100,NA,NA,1333.03,56,1061,32,1150,17.299999999999997,12,-5.4,3608,48,3,6,94,258414,43.82,45,72.6,5386,11731,17117,1200,4681,5881,8933,329,24,2,4335,24,24,0.169,1082,951,2033,855400,75898,11.270389206566708,12,0.2,4.3,0.2,4.7,1.264905307458499,1.1117605798456862,2.376665887304185
29,Washington,WA,3.3125,3.125,3.39285714285714,3.32352941176471,2016,7297300,24,10,13,26,13,15,92,50,50,0.66,0.03,0.14,0.1,NA,NA,0.04,11.08,15.290000000000001,29.39,44.24,70310,5.3,1011412,5733,1653,-1.7000000000000002,-8.3,39,20.1,4.7,150.9,672,136.1,9,9.4,14.5,10,13.900000000000002,14.399999999999999,1,1825000,601200,586500,3467.39,94,277,26,397,19.7,8.4,-11.200000000000001,2738,42,5,10,207,3229675,31.630000000000003,692,46.2,5028,13273,18301,984,5449,6433,7913,247,27,8,4328,24.3,7,0.582,10539,10879,21418,7297300,66582,109.59869033672764,13.100000000000001,0.4,1.1,0.1,1.7,1.4442327984322967,1.49082537376838,2.935058172200677
30,Georgia,GA,3.26923076923077,3.5,3,3.16129032258065,2016,10280800,26,9,12,27,13,13,93,48,52,0.52,0.32,0.1,0.04,NA,NA,0.02,15.47,19.56,28.299999999999997,36.67,53527,5.4,1733473,4610,1023,-3,-5.5,21,17.2,4,160.2,800.4,179,15,8.8,13.3,14.3,17.9,19.1,0,1874300,NA,NA,1739.63,73,465,63,601,25.8,18,-7.8,2068,32,6,-24,239,3239213,43.85,612,60.3,5506,12746,18252,1409,4646,6055,6587,287,41,8,4406,27.3,41,-0.464,12335,12576,24911,10280800,57919,177.50306462473455,12.9,0.3,1.8,0.3,2.4,1.1998093533577152,1.2232511088631235,2.423060462220839
31,Texas,TX,3.26666666666667,3.07142857142857,3.275,3.23809523809524,2016,27677200,28.000000000000004,10,13,25,11,12,89,49,51,0.43,0.12,0.38,0.05,<.01,NA,0.01,13.83,17.93,29.830000000000002,38.4,58146,4.7,3768472,4406,2233,5.8999999999999995,2.6,11,15.5,3.2,148.5,730.6,167.7,12.1,4.9,10.1,11.1,14.299999999999999,18.3,0,4353000,NA,NA,2320.76,88,227,185,500,29.7,22.7,-7.000000000000001,2322,44,6,-8,463,5729488,67.34,724,60.099999999999994,5660,11869,17529,1197,4672,5869,6998,269,35,16,4696,31.1,33,-0.208,30407,33519,63926,27677200,261914,105.67285444840672,11.799999999999999,0.4,1,0.9,2.2,1.0986299192114808,1.2110690387755987,2.3096989579870795
32,Nebraska,NE,3.25,3.5,3.25,3.29411764705882,2016,1876100,27,10,12,24,10,16,94,49,51,0.78,0.04,0.13,0.03,NA,<.01,0.02,9.84,15.920000000000002,33.43,40.8,59374,3.3000000000000003,175851,6088,2261,10.100000000000001,0.6,12,18,4,153.6,707,140.3,9.1,2.4,6.4,14.3,17,14.7,0,238900,NA,NA,1883.36,87,572,12,672,15,12.1,-2.8000000000000003,3516,48,3,-18,111,28024,56.02,6,59.3,4808,11809,16617,1456,4632,6088,8412,332,36,4,4536,19.1,12,0.432,2878,2715,5593,1876100,76878,24.4036005098988,12,0.6,2.8,0.1,3.4,1.5340333670913064,1.4471510047438836,2.98118437183519
33,West Virginia,WV,3.25,3.25,3.25,3.25,2016,1814100,22,9,10,26,15,18,99,50,50,0.93,0.03,0.01,NA,NA,<.01,NA,18.29,19.68,31.759999999999998,30.259999999999998,44354,5.8999999999999995,357531,8832,7403,-4.6,-2.7,38,20.599999999999998,5.1,182.2,943.3,191,17.5,43.4,52,17.3,24.8,26.3,1,568600,180500,180500,1702.27,61,617,127,805,20.3,7.5,-12.8,8232,91,2,-38,126,627731,45.18,119,52.400000000000006,4092,13168,17260,1208,5132,6340,9462,359,33,2,3917,19.5,43,-0.595,2841,2794,5635,1814100,24087,75.31448499190435,19.8,0.3,2.8,0.6,3.7,1.566065817760873,1.5401576539330797,3.106223471693953
34,Missouri,MO,3.2,3,3.17857142857143,3.17741935483871,2016,5888700,25,9,12,25,12,17,97,48,52,0.79,0.11,0.04,0.02,NA,NA,0.03,13.13,17.31,31.66,37.91,55016,4.7,810690,4042,1923,12.6,-8,26,17.599999999999998,4.1000000000000005,167,808.2,192.1,19,15.9,23.6,15.1,22.1,19,0,983600,NA,NA,2262.21,84,498,89,671,18.3,12.7,-5.6000000000000005,1984,27,5,48,250,2314257,16.99,622,64.8,6003,10635,16638,1288,4593,5881,8107,314,43,6,4354,22.1,37,-0.338,9318,10761,20079,5888700,68898,85.4698249586345,14.499999999999998,0.4,2.2,0.4,3,1.5823526414998217,1.827398237301951,3.4097508788017725
35,Indiana,IN,3.05,3.4,2.95454545454545,3.07692307692308,2016,6503200,26,9,12,25,13,15,97,49,51,0.81,0.09,0.06,0.02,NA,NA,0.02,11.959999999999999,17.47,32.129999999999995,38.45,56094,4.3,741610,4735,1213,-1.5,-11.200000000000001,31,19.5,4.8,172.5,835,180.6,15,12.6,24,12.6,21.099999999999998,18.5,1,1314600,412700,265800,2357.27,70,386,72,528,19.3,10.8,-8.5,2302,33,5,36,159,3259892,78.36999999999999,234,59.599999999999994,4175,13821,17996,1289,4841,6130,8300,282,35,7,4078,18.3,39,-0.372,8040,8667,16707,6503200,35870,181.2991357680513,13.8,0.4,1.8,0.4,2.6,1.236314429819166,1.3327285028908846,2.5690429327100506
36,Idaho,ID,3,NA,3.25,3.09375,2016,1679000,28.000000000000004,9,11,24,13,15,96,50,50,0.82,0.01,0.13,0.02,NA,NA,0.01,11.110000000000001,19.85,35.120000000000005,33.93,56564,3.8,185303,4358,2000,-4.2,-7.5,41,21,4.8,150.9,725,160,14.6,7.4,15.2,11.3,14.499999999999998,15.9,0,311400,NA,NA,2707.92,89,215,85,389,23.200000000000003,15.2,-8,3369,49,4,-14,103,531793,48.36,88,51.6,5171,12328,17499,872,4722,5594,6927,284,51,5,3560,27.700000000000003,15,0.356,1599,1325,2924,1679000,82751,20.289785017703714,13.4,0.5,1.1,0.4,2,0.9523525908278738,0.7891602144133413,1.741512805241215
37,Kansas,KS,3,3.5,3.55555555555556,3.25,2016,2865000,27,9,12,24,14.000000000000002,15,96,50,50,0.74,0.06,0.14,0.02,NA,NA,0.03,11.4,17.49,32.99,38.12,56810,4.3,253833,5202,2506,8,-7.9,35,17.7,4.2,158.6,756.8,159.2,13.4,5.1,11.1,14.4,17.2,15.4,0,407900,NA,NA,1632.44,240,287,134,660,17.299999999999997,11.799999999999999,-5.5,3822,56.00000000000001,4,-11,169,802087,51.31,134,53.2,4669,12115,16784,1265,4579,5844,7651,264,31,3,4855,22.400000000000002,27,-0.012,4067,3758,7825,2865000,81823,35.01460469550126,13,1.1,1.6,0.6,3.3,1.419546247818499,1.3116928446771379,2.731239092495637
38,Louisiana,LA,2.94444444444444,2.66666666666667,3.41666666666667,3.05555555555556,2016,4578500,26,10,12,25,13,14.000000000000002,98,48,52,0.59,0.32,0.05,0.02,NA,NA,0.02,20.28,19.99,27.61,32.129999999999995,42196,6.1,927168,5924,1859,6.1,23.5,5,16.8,4.3999999999999995,171.9,870.5,213.1,21.3,7.7,21.8,14.3,22.8,21.9,1,1571900,324100,324100,1900.41,114,427,103,644,24.6,15.299999999999999,-9.3,4193,61,4,45,144,2719568,68.19,283,45.800000000000004,5817,11513,17330,1282,4453,5735,7815,353,38,4,4420,24.6,49,-1.043,6221,7387,13608,4578500,43566,105.09342147546252,15.6,0.7,1.8,0.5,3,1.3587419460522006,1.6134105056241126,2.972152451676313
39,South Carolina,SC,2.92857142857143,3.2,2.875,2.975,2016,4908400,24,8,11,26,14.000000000000002,17,97,48,52,0.65,0.26,0.05,0.02,NA,NA,NA,14.27,18.01,30.4,37.32,54336,4.5,805012,4626,795,-12.8,-6,29,17.5,3.9,167.7,829.8,173.8,17.7,13.1,18.1,12,20,20,0,1214300,NA,NA,1941.32,144,270,151,565,22.6,14.7,-7.9,8149,90,2,26,103,2230932,69.48,232,55.900000000000006,5007,12666,17673,1361,4436,5797,7311,301,44,3,4235,21.6,42,-0.532,6361,6435,12796,4908400,30111,163.0101956095779,15,0.6,1.1,0.7,2.5,1.2959416510471844,1.3110178469562384,2.6069594980034227
40,Mississippi,MS,2.91666666666667,2.5,3.375,3,2016,2948100,26,10,11,26,13,15,99,48,52,0.58,0.37,0.03,NA,NA,NA,0.01,21.26,20.91,28.52,29.310000000000002,41099,5.7,582658,6614,2741,-10.2,-11.700000000000001,51,17,3.8,187.7,948.9,233.1,19.9,6.2,12.1,23.4,22.7,23.200000000000003,0,729700,NA,NA,1176.14,384,310,124,819,24.8,17.7,-7.1,2937,43,4,42,117,1747991,41.160000000000004,344,51.1,5408,10357,15765,1400,4242,5642,7646,279,26,3,4045,22.6,50,-1.123,3165,3402,6567,2948100,46914,62.84051669011382,16.1,1.7,1.4,0.9,4,1.0735728096061872,1.1539635697567925,2.2275363793629794
41,Kentucky,KY,2.9,3,3.59090909090909,3.21153846153846,2016,4388200,25,10,11,26,13,16,97,49,51,0.84,0.08,0.05,NA,NA,NA,NA,15.310000000000002,21.69,30.09,32.910000000000004,45369,5,666264,7370,2468,-5.3,-11.600000000000001,48,21.5,5.1,193.8,938.4,203,17.5,23.6,33.5,17.3,24.5,22.5,1,1316300,462000,462000,1853.01,93,523,72,689,20.9,7.1,-13.8,5957,76,3,19,167,1117446,61.01,147,64.5,4737,11941,16678,1290,4468,5758,8004,261,30,7,4551,20.4,45,-0.651,5350,6320,11670,4388200,39732,110.44498137521393,17.9,0.4,2.3,0.4,3.2,1.2191787065311517,1.4402260607994166,2.6594047673305683
42,Alabama,AL,2.83333333333333,NA,3,2.94444444444444,2016,4834100,24,9,11,26,14.000000000000002,16,98,48,52,0.66,0.27,0.04,NA,NA,NA,0.01,16.46,18.65,29.830000000000002,35.05,47221,6,850804,5313,1277,-5.7,-6,31,18.099999999999998,4.1000000000000005,174,920.4,222.5,21.5,7.5,16.2,17.1,21.5,22.6,0,1050100,NA,NA,1479.77,377,154,201,731,20.3,14.099999999999998,-6.2,6162,76,3,7,99,1919497,57.58,278,39.2,4686,11412,16098,1510,4026,5536,7281,297,33,3,3641,21.3,47,-0.793,5788,6165,11953,4834100,50750,95.25320197044336,16.2,1.6,0.6,0.9,3.1,1.1973273204939907,1.275314950042407,2.4726422705363977
43,Arkansas,AR,2.83333333333333,NA,2.55555555555556,2.625,2016,2945300,25,9,12,25,12,16,96,49,51,0.72,0.15,0.07,NA,0.01,NA,0.02,16.14,19.13,33.589999999999996,31.14,45907,4,426069,8018,1595,-16.2,-12.5,50,20.5,5.3,178.8,893.2,223.7,17.8,5.9,14,17.1,23.599999999999998,25.6,1,960600,321000,310800,1707.33,82,407,117,606,24.099999999999998,11.700000000000001,-12.4,5039,68,3,18,103,656572,62.6,92,39.6,4917,10012,14929,1235,4106,5341,7408,298,24,4,3906,19.7,48,-0.834,3473,3609,7082,2945300,52075,56.55880940950552,17,0.3,2.2,0.6,3.2,1.1791668081349949,1.225342070417275,2.4045088785522695
44,Utah,UT,2.78571428571429,3.75,3.22222222222222,3.11111111111111,2016,3079700,31,11,14.000000000000002,24,9,11,95,50,50,0.79,0.01,0.14,0.02,NA,NA,0.02,8.690000000000001,17.21,35.23,38.87,67481,3.3000000000000003,219820,4471,1111,-4,-3.2,14,21.8,5.1,122.4,714.7,150,12.9,16.4,22.4,15.5,8.799999999999999,11.700000000000001,0,337400,NA,NA,2825.09,66,185,92,343,17.7,11.600000000000001,-6.2,4270,61,4,-43,62,746636,66.9,100,64.3,3966,13059,17025,1162,4955,6117,5982,260,45,4,3657,27.3,8,0.578,2959,3650,6609,3079700,82168,37.480527699347675,9.9,0.3,0.9,0.6,1.8,0.9608078708965159,1.1851803747118226,2.1459882456083386
45,New Mexico,NM,2.75,3,3.3,2.97058823529412,2016,2045000,26,10,11,24,14.000000000000002,15,94,49,51,0.37,0.02,0.46,NA,NA,NA,0.01,17.86,23.18,28.17,30.79,48451,6.800000000000001,471247,8690,1173,4,4.7,2,18.7,4.3,138.8,753.4,150.6,18.1,17.5,25.2,14.6,16.6,21.7,1,881200,253400,253400,2634.68,83,175,152,410,27.700000000000003,12.6,-15.1,3021,35,3,-9,104,1048498,23,261,47.8,5460,11494,16954,1299,4941,6240,7214,212,36,4,4155,29.9,38,-0.363,2869,2795,5664,2045000,121365,16.849997940098053,15.2,0.3,0.7,0.8,1.8,1.4029339853300733,1.3667481662591687,2.769682151589242
46,Montana,MT,2.7,NA,3,2.75,2016,1035500,23,8,12,24,14.000000000000002,19,99,50,50,0.89,0.01,0.03,0.01,NA,NA,0.03,12.1,17.87,31.319999999999997,38.7,57075,4.1000000000000005,116626,6124,4475,3.3000000000000003,3.6999999999999997,19,20.1,5.3,145.9,743.2,154.4,18.9,4.2,11.7,11.1,18.5,15.6,1,213100,58100,58100,1509.39,38,670,41,749,23.1,12.1,-11,5409,70,3,-21,122,330385,38.37,63,60.9,5570,12265,17835,1367,5075,6442,8221,322,48,3,3882,26.400000000000002,23,0.178,1156,1154,2310,1035500,145556,7.114100414960565,14.6,0.2,3,0.3,3.5,1.116368903911154,1.1144374698213424,2.2308063737324964
47,Wyoming,WY,2.66666666666667,NA,NA,2.66666666666667,2016,571700,27,8,12,24,14.000000000000002,15,98,50,50,0.86,0.01,0.09,NA,NA,NA,0.02,11.04,19.81,29.53,39.62,57829,5.1,33853,8738,2071,18.3,7.1,3,19,4.5,140.9,720.9,157.8,17.4,8.7,17.6,15,18.9,15.7,0,65700,NA,NA,1355.47,538,66,17,621,17.8,14.7,-3.1,8826,94,1,-12,41,158554,55.669999999999995,19,61.199999999999996,4948,14669,19617,1195,5314,6509,8320,463,35,1,4957,31.1,25,0.116,627,545,1172,571700,97105,5.8874414293805675,14.099999999999998,2.3,0.5,0.2,2.9,1.096729053699493,0.9532971838376771,2.05002623753717
48,Nevada,NV,2.63636363636364,2.5,3.7,2.91666666666667,2016,2943200,25,9,13,25,13,16,92,50,50,0.52,0.09,0.27,0.08,NA,NA,0.03,10.209999999999999,19.67,36.199999999999996,33.92,55431,5.4,439782,4394,821,-14.799999999999999,1.2,19,17.9,4.1000000000000005,157.3,762.6,205.9,16.8,13.3,21.7,18.1,16.5,20.9,1,597400,203900,203900,1895.32,66,138,319,524,27.1,15.299999999999999,-11.700000000000001,4272,57.99999999999999,3,29,90,1235504,51.23,205,48.8,5089,11044,16133,1235,4255,5490,6714,286,36,3,3417,30.8,35,-0.304,3035,3045,6080,2943200,109806,26.8036355026137,13.100000000000001,0.2,0.6,1.1,1.9,1.0311905409078554,1.0345882033161184,2.065778744223974
49,Alaska,AK,2.5,NA,NA,2.5,2016,710800,28.000000000000004,10,15,23,12,12,96,51,49,0.6,0.03,0.07,0.05,0.17,0.02,0.07,13.020000000000001,14.21,27.800000000000004,44.97,75723,6.6000000000000005,82326,13522,5380,3.2,1.9,23,18.9,4.3,158.7,745.6,141,23.3,12.5,16.8,12.5,19,13.8,1,155700,22900,22900,2447.07,65,368,86,519,23,17.599999999999998,-5.4,4953,54,2,168,86,116708,29.15,29,52,4843,17647,22490,1319,6567,7886,11064,719,35,2,5958,32.2,30,-0.031,1026,837,1863,710800,570641,1.245616771315065,12.9,0.3,1.5,0.4,2.2,1.4434440067529544,1.1775464265616207,2.6209904333145753
50,Oklahoma,OK,2.375,NA,3.35714285714286,3,2016,3921100,26,8,14.000000000000002,25,12,15,95,50,50,0.64,0.07,0.12,NA,0.08,NA,0.06,14.829999999999998,18.970000000000002,32.43,33.76,50943,5,612869,5790,2166,23.200000000000003,1.9,7,18.4,4.5,177.8,888.4,228.2,19.6,11.6,21.5,12.4,19.6,20.200000000000003,0,703300,NA,NA,1794.92,95,283,185,562,24.4,19.8,-4.6,8049,89,2,5,186,1312316,56.49999999999999,201,45.4,5061,11585,16646,1189,4595,5784,7627,306,31,2,3878,24.7,46,-0.691,4749,4616,9365,3921100,68679,57.093143464523365,16.400000000000002,0.6,1.3,0.9,2.8,1.2111397311978782,1.1772206778710055,2.3883604090688837
